transcript	gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
TCONS_00047433	XLOC_023200	-	Pre	Post	4.09	DOWN	158.32	0.00719642	
CUFF.3968.1	CGI_10027473	.	Pre	Post	3.29	DOWN	157.24	0.0127885	
CUFF.16919.1	CGI_10003786	.	Pre	Post	6.21	DOWN	155.88	0.00719642	
CUFF.2410.1	CGI_10019790	.	Pre	Post	4.43	UP	153.21	0.00719642	
CUFF.25836.2	CGI_10014451	.	Pre	Post	4.56	DOWN	152.72	0.00719642	
TCONS_00027227	XLOC_013544	CGI_10026303	Pre	Post	3.09	DOWN	152.37	0.0220033	
CUFF.17565.2	CGI_10004601	.	Pre	Post	4.50	DOWN	149.86	0.00719642	
EKC19078	CGI_10009767	.	Pre	Post	6.39	DOWN	149.82	0.00719642	
CUFF.27548.1	CGI_10028227	.	Pre	Post	2.55	DOWN	149.28	0.0386115	
CUFF.22591.1	CGI_10002172	.	Pre	Post	6.41	DOWN	149.16	0.00719642	
CUFF.25157.2	CGI_10008293	.	Pre	Post	3.81	DOWN	148.56	0.0419165	
TCONS_00036898	XLOC_018043	CGI_10028084	Pre	Post	4.36	UP	148.45	0.0478998	
CUFF.27762.3	CGI_10025222	.	Pre	Post	12.81	DOWN	148.33	0.00719642	
CUFF.25973.1	CGI_10008399	.	Pre	Post	6.16	DOWN	146.01	0.0180341	
EKC32895	CGI_10011678	.	Pre	Post	3.84	DOWN	143.62	0.0180341	
CUFF.25204.2	CGI_10007411	.	Pre	Post	4.87	DOWN	134.99	0.00719642	
CUFF.26182.3	CGI_10022215	.	Pre	Post	2.91	DOWN	134.84	0.0180341	
TCONS_00013597	XLOC_007015	-	Pre	Post	3.37	DOWN	133.75	0.0260753	
TCONS_00060762	XLOC_029126	-	Pre	Post	5.97	UP	133.30	0.00719642	
TCONS_00018885	XLOC_009658	-	Pre	Post	6.38	DOWN	130.94	0.00719642	
CUFF.27985.3	CGI_10018882	.	Pre	Post	8.76	DOWN	128.76	0.00719642	
CUFF.20131.1	CGI_10023094	.	Pre	Post	15.38	DOWN	128.25	0.00719642	
CUFF.7755.1	CGI_10005311	.	Pre	Post	3.45	DOWN	126.02	0.00719642	
CUFF.19116.3	CGI_10025995	.	Pre	Post	3.04	DOWN	120.86	0.0386115	
EKC26746	CGI_10028285	.	Pre	Post	11.48	DOWN	119.26	0.00719642	
CUFF.18956.1	CGI_10006782	.	Pre	Post	5.60	DOWN	117.76	0.00719642	
TCONS_00012282	XLOC_006354	-	Pre	Post	3.18	UP	116.71	0.00719642	
EKC28155	CGI_10015798	.	Pre	Post	15.64	DOWN	116.61	0.00719642	
CUFF.12658.1	CGI_10001985	.	Pre	Post	6.98	UP	115.82	0.00719642	
TCONS_00056228	XLOC_027004	-	Pre	Post	2.69	UP	115.66	0.0220033	
TCONS_00031045	XLOC_015160	-	Pre	Post	4.88	DOWN	115.56	0.0478998	
TCONS_00070166	XLOC_033448	CGI_10024445	Pre	Post	4.73	DOWN	115.37	0.00719642	
CUFF.247.1	CGI_10000039	.	Pre	Post	5.30	UP	114.85	0.00719642	
CUFF.15377.1	CGI_10025559	.	Pre	Post	5.85	DOWN	114.60	0.00719642	
EKC37662	CGI_10024216	.	Pre	Post	5.70	UP	114.27	0.0386115	
CUFF.23564.1	CGI_10009318	.	Pre	Post	3.74	DOWN	113.85	0.00719642	
TCONS_00025784	XLOC_012919	CGI_10007866	Pre	Post	5.03	DOWN	113.33	0.00719642	
CUFF.18070.5	CGI_10005434	.	Pre	Post	7.33	DOWN	113.32	0.00719642	
CUFF.22977.3	CGI_10001110	.	Pre	Post	2.89	UP	111.57	0.0386115	
EKC42367	CGI_10018278	.	Pre	Post	4.26	DOWN	110.90	0.00719642	
TCONS_00062777	XLOC_030024	-	Pre	Post	4.14	DOWN	110.17	0.00719642	
TCONS_00067738	XLOC_032362	-	Pre	Post	35.13	DOWN	108.90	0.0127885	
CUFF.19645.4	CGI_10008158	.	Pre	Post	6.26	DOWN	104.77	0.00719642	
CUFF.18193.1	CGI_10005650	.	Pre	Post	43.74	DOWN	104.41	0.00719642	
CUFF.10184.1	CGI_10019584	.	Pre	Post	2.64	UP	102.79	0.0329148	
CUFF.11562.1	CGI_10012215	.	Pre	Post	3.31	DOWN	98.67	0.0180341	
EKC36039	CGI_10022430	.	Pre	Post	3.85	DOWN	96.97	0.0127885	
CUFF.2804.1	CGI_10018739	.	Pre	Post	4.24	UP	96.68	0.00719642	
TCONS_00049585	XLOC_024115	-	Pre	Post	3.87	DOWN	94.56	0.00719642	
CUFF.1069.1	CGI_10001553	.	Pre	Post	8.92	DOWN	93.38	0.00719642	
CUFF.14347.1	CGI_10028127	.	Pre	Post	3.55	DOWN	92.83	0.0260753	
EKC41312	CGI_10019179	.	Pre	Post	3.25	DOWN	92.57	0.0356942	
CUFF.23485.3	CGI_10021003	.	Pre	Post	24.12	DOWN	91.53	0.00719642	
EKC22210	CGI_10002641	.	Pre	Post	2.71	UP	89.89	0.0220033	
EKC18204	CGI_10014578	.	Pre	Post	7.78	DOWN	89.75	0.00719642	
TCONS_00000133	XLOC_000133	-	Pre	Post	5.39	UP	88.49	0.0127885	
EKC38724	CGI_10019361	.	Pre	Post	25.36	DOWN	87.87	0.00719642	
EKC37270	CGI_10018585	.	Pre	Post	7.77	UP	87.84	0.0220033	
CUFF.21143.1	CGI_10012353	.	Pre	Post	4.29	DOWN	86.62	0.0127885	
TCONS_00036322	XLOC_017751	-	Pre	Post	3.37	UP	86.53	0.029599	
CUFF.16074.1	CGI_10002951	.	Pre	Post	6.50	DOWN	86.08	0.0329148	
CUFF.5035.2	CGI_10023769	.	Pre	Post	5.98	DOWN	85.84	0.0180341	
CUFF.23972.1	CGI_10020490	.	Pre	Post	22.17	DOWN	85.14	0.00719642	
TCONS_00042965	XLOC_021138	CGI_10003417	Pre	Post	36.81	UP	84.83	0.00719642	
TCONS_00049703	XLOC_024164	CGI_10025980	Pre	Post	17.59	DOWN	83.60	0.0329148	
EKC34170	CGI_10000408	.	Pre	Post	6.94	UP	83.55	0.00719642	
CUFF.18513.2	CGI_10006042	.	Pre	Post	2.92	UP	82.32	0.0386115	
CUFF.18315.2	CGI_10028346	.	Pre	Post	6.28	DOWN	81.71	0.0419165	
CUFF.20014.4	CGI_10008964	.	Pre	Post	4.97	DOWN	81.01	0.00719642	
CUFF.897.4	CGI_10000947	.	Pre	Post	17.52	DOWN	80.81	0.0127885	
CUFF.22694.1	CGI_10008711	.	Pre	Post	5.07	DOWN	80.54	0.00719642	
CUFF.11604.1	CGI_10010834	.	Pre	Post	5.33	DOWN	80.45	0.0260753	
TCONS_00010507	XLOC_005519	CGI_10011834	Pre	Post	3.20	DOWN	80.25	0.0329148	
CUFF.8463.2	CGI_10021873	.	Pre	Post	5.19	DOWN	80.09	0.0127885	
CUFF.25308.1	CGI_10026339	.	Pre	Post	7.23	DOWN	79.59	0.0329148	
CUFF.22482.1	CGI_10020246	.	Pre	Post	15.35	DOWN	79.18	0.00719642	
CUFF.12644.1	CGI_10007081	.	Pre	Post	7.29	DOWN	75.29	0.00719642	
EKC32970	CGI_10011342	.	Pre	Post	23.41	UP	74.60	0.0356942	
CUFF.23780.1	CGI_10020533	.	Pre	Post	7.20	DOWN	73.83	0.00719642	
CUFF.24696.6	CGI_10025795	.	Pre	Post	5.46	UP	73.59	0.0386115	
CUFF.18397.1	CGI_10005826	.	Pre	Post	5.48	UP	72.95	0.00719642	
EKC20601	CGI_10005761	.	Pre	Post	7.37	DOWN	72.65	0.00719642	
EMCGIT00000002299	EMCGIG00000002299	18S_rRNA	Pre	Post	4.50	UP	72.24	0.00719642	
TCONS_00047282	XLOC_023126	-	Pre	Post	5.52	UP	71.80	0.00719642	
EKC37925	CGI_10009698	.	Pre	Post	3.00	DOWN	71.60	0.0220033	
TCONS_00003905	XLOC_002404	-	Pre	Post	12.71	DOWN	71.18	0.00719642	
CUFF.18309.3	CGI_10028339	.	Pre	Post	4.59	UP	70.55	0.00719642	
TCONS_00034138	XLOC_016620	-	Pre	Post	19.14	DOWN	70.55	0.0220033	
TCONS_00005030	XLOC_002945	-	Pre	Post	4.43	UP	70.54	0.00719642	
EKC36543	CGI_10002774	.	Pre	Post	5.06	DOWN	69.52	0.0127885	
TCONS_00024806	XLOC_012458	-	Pre	Post	10.08	DOWN	69.13	0.0220033	
CUFF.8000.2	CGI_10027166	.	Pre	Post	4.48	DOWN	68.83	0.0127885	
CUFF.24728.1	CGI_10017693	.	Pre	Post	3.75	UP	68.45	0.029599	
CUFF.25930.3	CGI_10012200	.	Pre	Post	5.61	UP	67.66	0.00719642	
CUFF.24062.1	CGI_10005541	.	Pre	Post	3.40	UP	67.55	0.0356942	
TCONS_00000236	XLOC_000233	-	Pre	Post	3.39	DOWN	66.66	0.0260753	
EKC17913	CGI_10000052	.	Pre	Post	4.19	DOWN	66.01	0.0447988	
TCONS_00013960	XLOC_007198	-	Pre	Post	3.75	DOWN	65.26	0.00719642	
CUFF.16590.1	CGI_10003449	.	Pre	Post	4.54	DOWN	65.18	0.0127885	
TCONS_00041080	XLOC_020219	-	Pre	Post	6.10	DOWN	65.18	0.0356942	
EKC34635	CGI_10023174	.	Pre	Post	2.98	UP	64.46	0.0329148	
CUFF.8768.2	CGI_10013574	.	Pre	Post	4.83	UP	64.01	0.0220033	
TCONS_00001030	XLOC_000896	-	Pre	Post	5.75	DOWN	63.39	0.00719642	
CUFF.19552.1	CGI_10007833	.	Pre	Post	6.94	DOWN	62.50	0.00719642	
EKC23352	CGI_10008723	.	Pre	Post	10.53	DOWN	62.25	0.00719642	
CUFF.24803.4	CGI_10023430	.	Pre	Post	7.62	DOWN	62.10	0.0220033	
CUFF.15536.2	CGI_10002404	.	Pre	Post	19.60	UP	61.34	0.00719642	
TCONS_00036438	XLOC_017813	-	Pre	Post	3.65	UP	60.80	0.0260753	
CUFF.28138.1	CGI_10016723	.	Pre	Post	4.61	DOWN	60.35	0.0127885	
CUFF.17350.5	CGI_10004330	.	Pre	Post	6.07	DOWN	60.19	0.00719642	
CUFF.3466.1	CGI_10027395	.	Pre	Post	28.61	UP	59.79	0.00719642	
CUFF.20477.1	CGI_10009981	.	Pre	Post	20.49	DOWN	59.45	0.00719642	
EKC20619	CGI_10005733	.	Pre	Post	3.75	DOWN	59.31	0.00719642	
TCONS_00069503	XLOC_033144	-	Pre	Post	11.83	DOWN	58.71	0.0260753	
CUFF.19457.1	CGI_10007666	.	Pre	Post	3.59	DOWN	58.18	0.0356942	
TCONS_00061845	XLOC_029606	-	Pre	Post	8.93	DOWN	58.11	0.0260753	
EKC18381	CGI_10013056	.	Pre	Post	3.76	DOWN	57.94	0.0329148	
CUFF.14603.1	CGI_10022978	.	Pre	Post	12.98	UP	57.80	0.00719642	
TCONS_00015838	XLOC_008141	CGI_10026559	Pre	Post	12.53	DOWN	57.63	0.00719642	
CUFF.4340.3	CGI_10016438	.	Pre	Post	10.68	DOWN	57.24	0.00719642	
TCONS_00007241	XLOC_004028	CGI_10023454	Pre	Post	3.38	UP	57.15	0.029599	
CUFF.27417.1	CGI_10022251	.	Pre	Post	8.28	UP	56.57	0.0127885	
EKC42807	CGI_10015934	.	Pre	Post	25.72	DOWN	56.41	0.0180341	
CUFF.28440.1	CGI_10027699	.	Pre	Post	5.68	DOWN	56.18	0.029599	
CUFF.930.1	CGI_10001043	.	Pre	Post	6.89	DOWN	55.64	0.00719642	
CUFF.22434.4	CGI_10024194	.	Pre	Post	3.45	DOWN	55.49	0.0220033	
CUFF.21799.1	CGI_10019440	.	Pre	Post	5.07	UP	55.39	0.00719642	
TCONS_00070857	XLOC_033766	-	Pre	Post	9.06	DOWN	55.13	0.00719642	
TCONS_00061764	XLOC_029568	-	Pre	Post	10.97	UP	54.76	0.0220033	
EKC42382	CGI_10017264	.	Pre	Post	8.57	DOWN	54.37	0.00719642	
TCONS_00038261	XLOC_018785	-	Pre	Post	4.30	DOWN	52.40	0.029599	
EKC27676	CGI_10005450	.	Pre	Post	8.77	DOWN	51.98	0.00719642	
CUFF.19130.6	CGI_10026011	.	Pre	Post	6.59	DOWN	51.96	0.0329148	
CUFF.23379.1	CGI_10022383	.	Pre	Post	5.02	DOWN	51.74	0.0386115	
CUFF.28621.1	CGI_10012787	.	Pre	Post	11.07	DOWN	51.44	0.00719642	
EKC38551	CGI_10017108	.	Pre	Post	12.86	DOWN	51.23	0.00719642	
EKC42037	CGI_10028226	.	Pre	Post	5.42	DOWN	51.16	0.0356942	
EKC35691	CGI_10001541	.	Pre	Post	12.49	DOWN	50.80	0.0419165	
CUFF.19486.1	CGI_10007711	.	Pre	Post	4.01	DOWN	50.74	0.0386115	
CUFF.26348.6	CGI_10023983	.	Pre	Post	4.53	DOWN	49.43	0.0329148	
CUFF.5187.2	CGI_10010665	.	Pre	Post	3.96	UP	48.81	0.0329148	
CUFF.24423.1	CGI_10023194	.	Pre	Post	3.26	UP	48.68	0.00719642	
CUFF.23630.1	CGI_10017977	.	Pre	Post	3.28	DOWN	48.50	0.0478998	
CUFF.1102.1	CGI_10002070	.	Pre	Post	10.88	DOWN	48.41	0.0220033	
EKC42823	CGI_10015952	DML	Pre	Post	7.56	UP	48.30	0.00719642	
CUFF.28313.1	CGI_10022933	.	Pre	Post	6.55	DOWN	47.54	0.0419165	
TCONS_00041283	XLOC_020333	-	Pre	Post	8.58	UP	46.85	0.00719642	
CUFF.8426.1	CGI_10007421	.	Pre	Post	4.33	DOWN	46.70	0.0180341	
CUFF.11228.1	CGI_10006129	.	Pre	Post	4.46	DOWN	46.64	0.00719642	
EKC17831	CGI_10000144	.	Pre	Post	10.54	DOWN	46.50	0.00719642	
CUFF.26120.1	CGI_10000852	.	Pre	Post	3.16	DOWN	45.24	0.0386115	
CUFF.13629.3	CGI_10016563	.	Pre	Post	9.80	DOWN	44.88	0.00719642	
CUFF.11913.3	CGI_10023580	.	Pre	Post	6.10	UP	44.83	0.0356942	
TCONS_00015490	XLOC_007951	-	Pre	Post	5.06	UP	44.77	0.00719642	
CUFF.5413.2	CGI_10012977	.	Pre	Post	4.14	DOWN	44.56	0.00719642	
EKC27926	CGI_10014928	.	Pre	Post	43.58	DOWN	44.51	0.00719642	
TCONS_00061836	XLOC_029597	CGI_10017986	Pre	Post	3.28	DOWN	43.74	0.0447988	
CUFF.28727.2	CGI_10021197	.	Pre	Post	17.34	DOWN	42.84	0.00719642	
CUFF.24173.2	CGI_10027620	.	Pre	Post	7.93	DOWN	42.59	0.00719642	
EKC38555	CGI_10017112	.	Pre	Post	4.47	DOWN	42.56	0.00719642	
CUFF.26835.2	CGI_10024651	.	Pre	Post	2.93	DOWN	41.68	0.00719642	
CUFF.6517.1	CGI_10014381	.	Pre	Post	22.39	DOWN	41.31	0.00719642	
EKC42581	CGI_10026645	.	Pre	Post	2.65	UP	41.14	0.0356942	
CUFF.8775.1	CGI_10013581	.	Pre	Post	8.35	DOWN	41.09	0.00719642	
CUFF.28429.1	CGI_10027691	.	Pre	Post	8.75	DOWN	40.99	0.00719642	
EKC27925	CGI_10014927	.	Pre	Post	16.58	DOWN	40.93	0.00719642	
CUFF.10058.3	CGI_10024392	.	Pre	Post	3.54	DOWN	40.86	0.00719642	
CUFF.20679.1	CGI_10010790	.	Pre	Post	11.71	DOWN	40.55	0.00719642	
CUFF.24234.6	CGI_10016389	.	Pre	Post	4.97	DOWN	40.28	0.00719642	
EKC32426	CGI_10006869	.	Pre	Post	18.47	UP	40.11	0.00719642	
TCONS_00064632	XLOC_030880	-	Pre	Post	6.09	UP	39.84	0.00719642	
EKC17735	CGI_10000286	.	Pre	Post	6.63	DOWN	39.54	0.0478998	
CUFF.1140.5	CGI_10026424	.	Pre	Post	8.88	DOWN	39.42	0.00719642	
CUFF.27100.8	CGI_10025240	.	Pre	Post	3.50	UP	38.78	0.0447988	
TCONS_00034496	XLOC_016782	-	Pre	Post	4.02	UP	38.77	0.0356942	
TCONS_00050841	XLOC_024677	-	Pre	Post	6.71	DOWN	38.51	0.00719642	
TCONS_00010333	XLOC_005437	tRNA-Pseudo	Pre	Post	8.51	UP	37.78	0.00719642	
EKC30856	CGI_10028533	.	Pre	Post	4.28	DOWN	37.59	0.0220033	
