transcript	gene_id	gene_name	sample1	sample2	fold_change	direction	total_fpkm	q-value	gene_description
TCONS_00041738	XLOC_020552	-	Pre	Post	1.09	UP	5755.95	0.916965	
TCONS_00006615	XLOC_003721	-	Pre	Post	1.19	UP	5676.53	0.86261	
EKC26563	CGI_10004092	.	Pre	Post	1.44	UP	5675.47	0.738784	
TCONS_00055799	XLOC_026856	CGI_10014147	Pre	Post	1.28	UP	5527.87	0.833032	
EKC35894	CGI_10016036	.	Pre	Post	2.87	DOWN	5482.89	0.0975449	
TCONS_00017760	XLOC_009096	-	Pre	Post	1.55	UP	5439.66	0.807856	
EKC28227	CGI_10019465	.	Pre	Post	6.82	DOWN	5252.77	0.654858	
TCONS_00017759	XLOC_009095	-	Pre	Post	2.77	UP	5204.28	0.721098	
TCONS_00069881	XLOC_033325	-	Pre	Post	1.20	UP	5145.92	0.851887	
TCONS_00026663	XLOC_013292	-	Pre	Post	1.64	UP	5130.21	0.819775	
TCONS_00004150	XLOC_002522	CGI_10021671	Pre	Post	1.21	UP	5121.60	0.871331	
EKC38581	CGI_10025934	.	Pre	Post	1.21	UP	5015.10	0.88054	
CUFF.309.2	CGI_10000077	.	Pre	Post	1.66	DOWN	4815.12	0.887989	
EKC27633	CGI_10002919	.	Pre	Post	1.05	UP	4676.26	0.949112	
TCONS_00061210	XLOC_029335	-	Pre	Post	1.44	UP	4616.42	0.920022	
EKC37537	CGI_10022058	.	Pre	Post	1.08	UP	4612.14	0.930064	
EKC30960	CGI_10019760	.	Pre	Post	1.62	UP	4603.53	0.717614	
TCONS_00055800	XLOC_026856	-	Pre	Post	1.26	UP	4598.83	0.884173	
EKC29820	CGI_10026148	.	Pre	Post	1.53	UP	4531.44	0.752752	
CUFF.11327.5	CGI_10019606	.	Pre	Post	46.88	DOWN	4530.66	0.726658	
CUFF.1131.1	CGI_10026412	.	Pre	Post	1.59	UP	4470.38	0.779966	
CUFF.1867.1	CGI_10021692	.	Pre	Post	1.28	UP	4407.65	0.840376	
EKC33064	CGI_10012475	.	Pre	Post	1.12	DOWN	4365.70	0.941763	
EKC37958	CGI_10025534	.	Pre	Post	1.77	UP	4326.94	0.726658	
EKC30787	CGI_10021692	.	Pre	Post	1.04	DOWN	4317.19	0.972689	
TCONS_00055504	XLOC_026734	-	Pre	Post	7.39	DOWN	4316.90	0.726658	
TCONS_00056778	XLOC_027247	-	Pre	Post	26.46	DOWN	4302.28	0.00719642	
CUFF.27309.3	CGI_10020701	.	Pre	Post	239.95	DOWN	4258.40	0.00719642	
CUFF.7422.2	CGI_10010474	.	Pre	Post	1.77	UP	4257.00	0.883388	
EKC29329	CGI_10009812	.	Pre	Post	4.85	DOWN	4234.84	0.00719642	
CUFF.1351.2	CGI_10028812	.	Pre	Post	1.33	UP	4169.94	0.765732	
TCONS_00051210	XLOC_024823	CGI_10008099	Pre	Post	1.46	UP	4163.19	0.801833	
TCONS_00059398	XLOC_028512	-	Pre	Post	4.88	DOWN	4159.91	0.726658	
EKC41514	CGI_10021397	.	Pre	Post	1.11	DOWN	4033.25	0.906674	
CUFF.27221.1	CGI_10016741	.	Pre	Post	1.03	DOWN	3985.97	0.982477	
EKC21928	CGI_10003072	.	Pre	Post	1.46	UP	3943.31	0.8508	
TCONS_00032743	XLOC_015935	-	Pre	Post	2.14	DOWN	3888.17	0.758273	
CUFF.403.3	CGI_10000194	.	Pre	Post	1.64	UP	3877.75	0.726658	
EKC22058	CGI_10002842	.	Pre	Post	1.20	UP	3779.67	0.872186	
TCONS_00038457	XLOC_018894	CGI_10001667	Pre	Post	1.09	DOWN	3774.07	0.937385	
CUFF.26928.2	CGI_10024065	.	Pre	Post	1.36	UP	3748.25	0.874669	
TCONS_00042883	XLOC_021106	-	Pre	Post	1.06	UP	3667.35	0.953405	
TCONS_00064869	XLOC_030992	CGI_10015716	Pre	Post	1.09	DOWN	3626.77	0.963433	
TCONS_00042886	XLOC_021106	-	Pre	Post	1.47	UP	3608.92	0.789814	
EKC27576	CGI_10017582	.	Pre	Post	2.42	UP	3581.05	0.701652	
EKC32788	CGI_10017178	.	Pre	Post	1.35	DOWN	3560.34	0.797705	
TCONS_00040125	XLOC_019765	-	Pre	Post	2.06	DOWN	3557.02	0.8333	
EKC39132	CGI_10011151	.	Pre	Post	1.20	UP	3540.87	0.863413	
CUFF.19852.1	CGI_10008493	RPL40	Pre	Post	2.12	UP	3468.90	0.726658	
EKC33003	CGI_10013629	.	Pre	Post	2.16	UP	3431.77	0.733349	
CUFF.3083.2	CGI_10021397	.	Pre	Post	1.26	DOWN	3404.33	0.912441	
TCONS_00000040	XLOC_000040	-	Pre	Post	1.35	DOWN	3398.70	0.73262	
TCONS_00057339	XLOC_027522	-	Pre	Post	1.47	UP	3396.19	0.861092	
TCONS_00000052	XLOC_000052	-	Pre	Post	1.59	DOWN	3384.75	0.726658	
CUFF.9019.1	CGI_10012808	.	Pre	Post	1.06	UP	3347.84	0.963186	
TCONS_00074531	XLOC_035466	SNORA53	Pre	Post	1.40	UP	3292.86	0.7544	
CUFF.3516.2	CGI_10002529	.	Pre	Post	48.03	UP	3269.09	0.721924	
TCONS_00034029	XLOC_016561	-	Pre	Post	2.96	UP	3263.44	0.650589	
CUFF.11954.1	CGI_10021069	.	Pre	Post	1.34	UP	3258.98	0.871209	
EKC28175	CGI_10014343	.	Pre	Post	29.50	DOWN	3226.38	0.00719642	
TCONS_00070526	XLOC_033610	CGI_10013163	Pre	Post	1.74	DOWN	3211.92	0.887821	
TCONS_00074726	XLOC_035559	CGI_10027653	Pre	Post	34.45	UP	3170.13	0.733391	
TCONS_00045863	XLOC_022472	CGI_10018576	Pre	Post	3.15	UP	3144.84	0.0386115	
EKC36805	CGI_10017437	SHELK2-SUB3	Pre	Post	5.20	DOWN	3118.09	0.537114	
TCONS_00068711	XLOC_032804	CGI_10022222	Pre	Post	1.03	UP	3112.86	0.965524	
TCONS_00007374	XLOC_004099	-	Pre	Post	1.22	UP	3072.78	0.792042	
EKC36951	CGI_10023098	.	Pre	Post	1.28	UP	3041.74	0.801598	
EKC42633	CGI_10026703	.	Pre	Post	37.14	UP	3040.77	0.00719642	
TCONS_00057284	XLOC_027488	-	Pre	Post	1.73	UP	3035.56	0.65747	
TCONS_00043367	XLOC_021313	-	Pre	Post	5.13	UP	3029.00	0.714254	
TCONS_00061849	XLOC_029607	-	Pre	Post	2.66	DOWN	3002.97	0.779966	
CUFF.22867.1	CGI_10019268	.	Pre	Post	1.13	DOWN	2996.43	0.906674	
TCONS_00034258	XLOC_016661	-	Pre	Post	1.38	UP	2989.30	0.923205	
TCONS_00025734	XLOC_012896	-	Pre	Post	3.73	DOWN	2979.40	0.743746	
CUFF.3286.1	CGI_10013011	.	Pre	Post	2.27	DOWN	2970.02	0.726658	
TCONS_00000597	XLOC_000537	-	Pre	Post	1.16	DOWN	2966.39	0.929555	
CUFF.27979.1	CGI_10018876	.	Pre	Post	1.39	DOWN	2930.47	0.817901	
CUFF.20518.2	CGI_10010209	.	Pre	Post	1.76	UP	2910.95	0.714254	
TCONS_00000001	XLOC_000001	-	Pre	Post	2.91	UP	2906.55	0.387011	
CUFF.28723.5	CGI_10021194	MT	Pre	Post	1.01	UP	2896.27	0.995578	
CUFF.8441.3	CGI_10021852	.	Pre	Post	1.49	DOWN	2878.05	0.889149	
TCONS_00044877	XLOC_022008	-	Pre	Post	1.05	UP	2877.30	0.980686	
TCONS_00059502	XLOC_028552	-	Pre	Post	31.00	DOWN	2830.35	0.00719642	
CUFF.1187.2	CGI_10013084	.	Pre	Post	1.36	DOWN	2751.23	0.862786	
TCONS_00011490	XLOC_005998	CGI_10025181	Pre	Post	1.36	DOWN	2721.05	0.800551	
TCONS_00045767	XLOC_022429	CGI_10004725	Pre	Post	1.23	UP	2673.00	0.931918	
CUFF.18272.2	CGI_10005808	RPS17	Pre	Post	1.70	UP	2643.76	0.773205	
TCONS_00068144	XLOC_032537	-	Pre	Post	260.76	DOWN	2614.87	0.00719642	
EKC23476	CGI_10011540	.	Pre	Post	2.43	DOWN	2606.69	0.867833	
EKC22737	CGI_10001571	.	Pre	Post	1.13	DOWN	2586.33	0.902021	
TCONS_00011489	XLOC_005998	-	Pre	Post	1.12	UP	2574.77	0.939056	
EKC31749	CGI_10015438	.	Pre	Post	1.10	UP	2560.97	0.905916	
CUFF.20482.2	CGI_10009987	.	Pre	Post	1.83	DOWN	2556.71	0.714254	
TCONS_00019704	XLOC_010011	-	Pre	Post	1.28	UP	2553.33	0.74134	
TCONS_00002943	XLOC_001962	-	Pre	Post	44.33	UP	2539.68	0.499583	
EKC25966	CGI_10000905	.	Pre	Post	1.02	DOWN	2533.36	0.980632	
CUFF.17144.1	CGI_10004070	.	Pre	Post	1.19	UP	2513.28	0.838408	
EKC21264	CGI_10004231	.	Pre	Post	1.00	UP	2504.08	0.993959	
EKC39001	CGI_10018833	.	Pre	Post	1.09	UP	2500.67	0.939089	
TCONS_00010176	XLOC_005366	CGI_10016248	Pre	Post	1.02	DOWN	2477.15	0.987184	
CUFF.19425.1	CGI_10007670	.	Pre	Post	1.48	DOWN	2465.71	0.731247	
TCONS_00035953	XLOC_017514	-	Pre	Post	2.52	UP	2443.71	0.366364	
CUFF.4078.2	CGI_10024280	.	Pre	Post	11.30	UP	2405.76	0.00719642	
EKC33416	CGI_10018235	.	Pre	Post	2.06	DOWN	2399.85	0.501224	
CUFF.23153.1	CGI_10008574	.	Pre	Post	1.05	DOWN	2393.35	0.971911	
EKC22243	CGI_10002594	.	Pre	Post	224.07	UP	2390.25	0.00719642	
EKC38831	CGI_10026636	.	Pre	Post	1.07	UP	2368.30	0.957498	
CUFF.20250.8	CGI_10009633	.	Pre	Post	1.41	DOWN	2343.51	0.952929	
EKC30759	CGI_10021660	GF2	Pre	Post	4.11	UP	2331.22	0.00719642	
TCONS_00027789	XLOC_013811	-	Pre	Post	1.11	UP	2301.66	0.956041	
TCONS_00014046	XLOC_007240	-	Pre	Post	1.23	DOWN	2297.85	0.945058	
CUFF.13218.2	CGI_10024591	.	Pre	Post	12.15	DOWN	2277.41	0.387827	
TCONS_00065344	XLOC_031212	-	Pre	Post	1.09	UP	2268.34	0.958364	
TCONS_00001552	XLOC_001253	-	Pre	Post	12.49	UP	2223.47	0.0553621	
TCONS_00002387	XLOC_001732	-	Pre	Post	4.05	UP	2218.29	0.726658	
EKC24560	CGI_10001663	.	Pre	Post	1.43	UP	2217.96	0.726053	
CUFF.24608.3	CGI_10015394	.	Pre	Post	11.10	DOWN	2187.25	0.570607	
EKC39160	CGI_10024560	.	Pre	Post	1.12	DOWN	2184.88	0.905916	
TCONS_00053269	XLOC_025736	-	Pre	Post	1.36	DOWN	2177.03	0.8679	
EKC36788	CGI_10019448	.	Pre	Post	1.46	UP	2173.18	0.716644	
CUFF.1187.4	CGI_10013084	.	Pre	Post	1.26	UP	2172.78	0.864211	
CUFF.14247.1	CGI_10001106	.	Pre	Post	1.16	UP	2149.37	0.931387	
TCONS_00065346	XLOC_031212	-	Pre	Post	1.46	UP	2122.95	0.820719	
TCONS_00001965	XLOC_001518	CGI_10001444	Pre	Post	1.43	UP	2114.36	0.769303	
CUFF.20137.2	CGI_10023099	.	Pre	Post	1.24	UP	2113.90	0.884173	
TCONS_00067791	XLOC_032384	-	Pre	Post	1.07	DOWN	2112.98	0.973799	
EKC41855	CGI_10021196	.	Pre	Post	1.06	UP	2087.55	0.979038	
EKC17923	CGI_10000041	.	Pre	Post	1.00	UP	2080.12	0.994669	
EKC29264	CGI_10027480	.	Pre	Post	1.35	UP	2066.10	0.756977	
CUFF.13023.4	CGI_10024464	.	Pre	Post	3.83	UP	2058.68	0.644518	
CUFF.8190.1	CGI_10010682	.	Pre	Post	1.12	UP	2052.66	0.934494	
CUFF.16353.6	CGI_10026868	.	Pre	Post	17.21	UP	2029.18	0.00719642	
EKC30814	CGI_10019706	RPS3A	Pre	Post	1.45	UP	2016.87	0.863782	
CUFF.14158.2	CGI_10025934	.	Pre	Post	1.30	UP	2000.03	0.886243	
TCONS_00014698	XLOC_007564	CGI_10017582	Pre	Post	4.20	UP	1999.89	0.332587	
CUFF.16797.1	CGI_10021165	RPL18	Pre	Post	1.07	UP	1989.33	0.96707	
EKC38159	CGI_10020851	.	Pre	Post	1.15	UP	1988.01	0.858955	
TCONS_00045744	XLOC_022413	-	Pre	Post	1.40	DOWN	1986.68	0.88207	
EKC36767	CGI_10019424	.	Pre	Post	9.78	UP	1969.83	0.796148	
EKC24516	CGI_10007870	.	Pre	Post	1.42	UP	1967.66	0.774318	
CUFF.13218.5	CGI_10024591	.	Pre	Post	1.55	DOWN	1953.22	0.833529	
CUFF.12239.1	CGI_10007757	.	Pre	Post	1.38	UP	1913.88	0.874669	
EKC20838	CGI_10005237	.	Pre	Post	2.41	DOWN	1902.91	0.0767312	
TCONS_00010756	XLOC_005652	-	Pre	Post	1.71	UP	1900.69	0.804758	
TCONS_00007844	XLOC_004328	-	Pre	Post	3.46	DOWN	1898.57	0.0895565	
CUFF.10766.1	CGI_10004554	RPL24	Pre	Post	1.75	UP	1894.61	0.764738	
TCONS_00070591	XLOC_033642	-	Pre	Post	1.97	UP	1884.87	0.328405	
TCONS_00041566	XLOC_020476	CGI_10002949	Pre	Post	29.29	UP	1880.68	0.0220033	
CUFF.12477.4	CGI_10025378	.	Pre	Post	1.28	UP	1859.14	0.866734	
EKC25626	CGI_10013578	.	Pre	Post	2.47	DOWN	1853.45	0.249533	
TCONS_00062292	XLOC_029810	-	Pre	Post	1.70	DOWN	1849.18	0.877523	
TCONS_00012687	XLOC_006550	-	Pre	Post	5.71	DOWN	1847.08	0.00719642	
TCONS_00000263	XLOC_000259	-	Pre	Post	96.68	UP	1845.14	0.726658	
TCONS_00018145	XLOC_009287	CGI_10028301	Pre	Post	1.21	DOWN	1802.75	0.816374	
TCONS_00027722	XLOC_013778	-	Pre	Post	7.76	UP	1800.17	0.161341	
TCONS_00034260	XLOC_016661	-	Pre	Post	2.11	DOWN	1798.20	0.885465	
TCONS_00011581	XLOC_006046	-	Pre	Post	1.53	DOWN	1788.81	0.726658	
EKC26388	CGI_10025849	.	Pre	Post	1.08	DOWN	1768.13	0.951926	
CUFF.26520.2	CGI_10013629	.	Pre	Post	2.23	UP	1766.02	0.450052	
TCONS_00000227	XLOC_000224	-	Pre	Post	2.98	UP	1763.98	0.654858	
TCONS_00004135	XLOC_002512	-	Pre	Post	5.38	UP	1762.12	0.498104	
TCONS_00044170	XLOC_021686	-	Pre	Post	1.85	UP	1762.05	0.598125	
EKC39860	CGI_10012919	.	Pre	Post	1.72	UP	1751.88	0.714254	
CUFF.9430.5	CGI_10010541	.	Pre	Post	1.09	UP	1750.36	0.964898	
CUFF.21346.1	CGI_10014112	.	Pre	Post	1.89	UP	1749.30	0.724393	
EKC25774	CGI_10007887	.	Pre	Post	6.88	DOWN	1749.22	0.00719642	
CUFF.28023.4	CGI_10009062	.	Pre	Post	1.84	DOWN	1748.23	0.726658	
TCONS_00010710	XLOC_005633	-	Pre	Post	1.07	DOWN	1745.84	0.963103	
CUFF.22867.2	CGI_10019268	.	Pre	Post	6.30	UP	1743.98	0.726658	
TCONS_00017636	XLOC_009025	-	Pre	Post	3.82	UP	1743.41	0.726658	
EKC26028	CGI_10010679	.	Pre	Post	1.50	UP	1740.00	0.74292	
EKC40045	CGI_10011375	.	Pre	Post	5.36	UP	1731.85	0.00719642	
TCONS_00007088	XLOC_003954	-	Pre	Post	3.78	DOWN	1725.49	0.643666	
TCONS_00016286	XLOC_008386	-	Pre	Post	13.77	UP	1725.36	0.714254	
CUFF.28349.1	CGI_10010740	.	Pre	Post	1.35	UP	1719.39	0.882848	
CUFF.24608.4	CGI_10015394	.	Pre	Post	2.93	DOWN	1717.50	0.413815	
CUFF.20753.6	CGI_10010873	.	Pre	Post	1.23	DOWN	1700.30	0.918445	
CUFF.13316.1	CGI_10003507	.	Pre	Post	1.46	UP	1693.69	0.842114	
CUFF.24277.5	CGI_10021716	.	Pre	Post	3.57	DOWN	1689.45	0.148966	
EKC35597	CGI_10008574	.	Pre	Post	1.04	UP	1687.17	0.96596	
CUFF.20299.1	CGI_10009651	RPS5	Pre	Post	2.02	UP	1682.04	0.734097	
CUFF.14220.3	CGI_10017100	.	Pre	Post	1.78	UP	1675.99	0.816616	
EKC17691	CGI_10000337	.	Pre	Post	1.04	UP	1649.48	0.957873	
CUFF.18881.4	CGI_10006610	.	Pre	Post	2.85	UP	1638.17	0.074724	
TCONS_00045773	XLOC_022432	CGI_10004725	Pre	Post	1.29	DOWN	1635.50	0.827165	
TCONS_00024134	XLOC_012138	-	Pre	Post	5.77	DOWN	1635.00	0.668718	
TCONS_00068796	XLOC_032847	-	Pre	Post	12.20	DOWN	1627.42	0.522494	
TCONS_00056787	XLOC_027254	-	Pre	Post	1.20	UP	1626.21	0.926103	
TCONS_00060731	XLOC_029105	CGI_10026681	Pre	Post	2.08	DOWN	1622.54	0.800551	
EKC29247	CGI_10027462	.	Pre	Post	1.59	UP	1622.22	0.757406	
TCONS_00028214	XLOC_013978	CGI_10021893	Pre	Post	7.38	DOWN	1609.87	0.00719642	
TCONS_00035955	XLOC_017516	-	Pre	Post	1.80	DOWN	1605.93	0.493977	
CUFF.15141.3	CGI_10022729	.	Pre	Post	3.54	UP	1602.15	0.761222	
CUFF.1811.1	CGI_10019707	.	Pre	Post	1.02	UP	1592.21	0.988339	
CUFF.6676.1	CGI_10025300	.	Pre	Post	1.71	DOWN	1588.22	0.598125	
TCONS_00005473	XLOC_003169	-	Pre	Post	3.75	DOWN	1585.58	0.264947	
TCONS_00026667	XLOC_013292	-	Pre	Post	1.21	DOWN	1578.37	0.908315	
CUFF.6925.5	CGI_10009537	.	Pre	Post	3.94	UP	1574.81	0.66954	
TCONS_00016372	XLOC_008425	CGI_10005949	Pre	Post	3.17	DOWN	1560.99	0.899623	
CUFF.5154.1	CGI_10016317	.	Pre	Post	5.85	UP	1551.50	0.716644	
CUFF.16780.4	CGI_10003763	.	Pre	Post	1.04	UP	1548.29	0.960772	
CUFF.27346.1	CGI_10012042	.	Pre	Post	5.36	UP	1545.20	0.00719642	
TCONS_00031946	XLOC_015551	-	Pre	Post	1.41	DOWN	1543.40	0.845685	
TCONS_00045750	XLOC_022416	-	Pre	Post	1.08	DOWN	1538.97	0.958709	
CUFF.8465.1	CGI_10021874	.	Pre	Post	2.94	UP	1513.93	0.726658	
TCONS_00040553	XLOC_019957	-	Pre	Post	4.79	DOWN	1512.80	0.714254	
EKC24322	CGI_10007556	SLP	Pre	Post	3.39	DOWN	1507.95	0.387011	
EKC39103	CGI_10020680	.	Pre	Post	1.50	UP	1506.27	0.716644	
CUFF.13266.1	CGI_10011151	.	Pre	Post	1.26	UP	1506.18	0.872927	
TCONS_00034256	XLOC_016661	-	Pre	Post	2.34	DOWN	1502.81	0.719755	
CUFF.15351.2	CGI_10025534	.	Pre	Post	1.44	UP	1493.05	0.790651	
CUFF.21346.2	CGI_10014112	.	Pre	Post	1.16	DOWN	1492.52	0.95038	
EKC27195	CGI_10015425	GS	Pre	Post	3.02	DOWN	1465.98	0.399341	
TCONS_00060730	XLOC_029105	CGI_10026681	Pre	Post	7.85	UP	1460.69	0.808762	
EKC42224	CGI_10028023	.	Pre	Post	1.30	UP	1435.64	0.737221	
EKC34380	CGI_10017683	.	Pre	Post	12.91	UP	1427.90	0.00719642	
CUFF.20250.10	CGI_10009634	.	Pre	Post	1.05	UP	1421.32	0.930847	
EKC20371	CGI_10006117	.	Pre	Post	2.75	DOWN	1419.82	0.714254	
TCONS_00006710	XLOC_003768	HSP70	Pre	Post	443.46	UP	1414.01	0.502849	
EKC30627	CGI_10009164	.	Pre	Post	2.38	UP	1404.07	0.128257	
EKC39176	CGI_10024579	.	Pre	Post	1.95	UP	1403.99	0.378021	
CUFF.27397.1	CGI_10022234	.	Pre	Post	1.22	UP	1370.44	0.925109	
