ContigID	GOSlim_bin
contig213849	protein metabolism
contig192845	developmental processes
contig158913	other biological processes
contig179783	signal transduction
contig160627	other biological processes
contig68351_105576	cell organization and biogenesis
contig170980	other metabolic processes
contig204118	DNA metabolism
contig213962	developmental processes
contig72182_78479	cell organization and biogenesis
contig202567	other biological processes
contig143687_160744_134849_204337	cell adhesion
contig211016	protein metabolism
contig158693	other metabolic processes
contig105625_140650	transport
contig132214	other biological processes
contig132966_210546_87461_180132	other biological processes
contig169296	protein metabolism
contig151457	other metabolic processes
contig171654	other biological processes
contig150824	protein metabolism
contig203884	other biological processes
contig80434	cell organization and biogenesis
contig174543_180477	stress response
contig111431	other metabolic processes
contig171722	protein metabolism
contig154508	other biological processes
contig106177	signal transduction
contig151716	protein metabolism
contig68697	death
contig110002	protein metabolism
contig150781	protein metabolism
contig119323	protein metabolism
contig147112	developmental processes
contig116993	developmental processes
contig115826	other metabolic processes
contig203791	transport
contig206656	cell organization and biogenesis
contig176369	cell organization and biogenesis
contig39758_193412_186807_182900_48035_209748_78214_23602	cell organization and biogenesis
contig106670	other metabolic processes
contig139834	signal transduction
contig153063_130672_74159_148675_76533	signal transduction
contig69398_146348	RNA metabolism
contig177810_137851_97556_103929	stress response
contig70343	cell cycle and proliferation
contig219711	cell organization and biogenesis
contig169864	transport
contig99478	cell cycle and proliferation
contig81237	other biological processes
contig19784_178080	transport
contig72143	transport
contig107173	other metabolic processes
contig112756	other biological processes
contig600074	cell organization and biogenesis
contig23329	protein metabolism
contig104524	protein metabolism
contig124461	developmental processes
contig204328	cell adhesion
contig150993	other biological processes
contig216565_212499	transport
contig172004	cell organization and biogenesis
contig11564_13390	RNA metabolism
contig78581	cell-cell signaling
contig174488	stress response
contig138368	cell cycle and proliferation
contig74665	other biological processes
contig169840_104157	other biological processes
contig200240_192296	cell organization and biogenesis
contig153475	developmental processes
contig151508	other metabolic processes
contig147533	cell organization and biogenesis
contig74172	developmental processes
contig205176_209756	other biological processes
contig106790_99862_153506	signal transduction
contig148013	RNA metabolism
contig73848	other metabolic processes
contig59420_208168	transport
contig155759_107944	developmental processes
contig75945	protein metabolism
contig186562	death
contig92736	cell cycle and proliferation
contig203453	other metabolic processes
contig97061	protein metabolism
contig213330_185797_181904	protein metabolism
contig152800	protein metabolism
contig70343	developmental processes
contig69260	RNA metabolism
contig97302	other metabolic processes
contig171770	stress response
contig14604_157044_173526_218216_109514_212740	stress response
contig106035	cell cycle and proliferation
contig177718	other metabolic processes
contig182505_203812	cell organization and biogenesis
contig133269	other metabolic processes
contig208123_110676	other biological processes
contig14703_24352_93157_153249	cell adhesion
contig151156_140429	other biological processes
contig151069	cell adhesion
contig75216	death
contig145344	protein metabolism
contig218616_179696	other biological processes
contig189450	signal transduction
contig75550	RNA metabolism
contig147167	signal transduction
contig203855_65018	RNA metabolism
contig118640	other metabolic processes
contig120841	RNA metabolism
contig179222	signal transduction
contig59940	RNA metabolism
contig199875	protein metabolism
contig146829	other biological processes
contig190133	DNA metabolism
contig209146	other metabolic processes
contig216956_94235	other metabolic processes
contig147968	other metabolic processes
contig151305	other biological processes
contig202482	developmental processes
contig211965	signal transduction
contig71785	protein metabolism
contig181526	death
contig193403_56647_116660	developmental processes
contig145535	other biological processes
contig145017_212385	other biological processes
contig155660	other biological processes
contig160038	signal transduction
contig108208_111166	developmental processes
contig151909	RNA metabolism
contig70751	cell adhesion
contig196337	cell-cell signaling
contig74645	signal transduction
contig204931	other metabolic processes
contig171878	other biological processes
contig116947	death
contig155399_200357	other biological processes
contig13267	transport
contig194033_160066	stress response
contig159140_68527	cell cycle and proliferation
contig208006	developmental processes
contig152069	stress response
contig159838	other metabolic processes
contig178178	other biological processes
contig140063	RNA metabolism
contig149279_169923	other biological processes
contig211277	DNA metabolism
contig184201_213728	cell organization and biogenesis
contig148078	cell organization and biogenesis
contig111184	cell organization and biogenesis
contig152076	DNA metabolism
contig148818	transport
contig146719	cell organization and biogenesis
contig114410	cell organization and biogenesis
contig164778	other metabolic processes
contig149037_109896_107711_119488	protein metabolism
contig146830	protein metabolism
contig140101_198139_25397_17843_172052	other metabolic processes
contig99808_211682_218627_80123	protein metabolism
contig77014	transport
contig205942	other metabolic processes
contig72346	other biological processes
contig54398	RNA metabolism
contig178965	other metabolic processes
contig145512	cell-cell signaling
contig24655_189447_112899	developmental processes
contig107191	signal transduction
contig109674	RNA metabolism
contig152703	other metabolic processes
contig1335_25698	transport
contig145388	protein metabolism
contig203546	other metabolic processes
contig151216	other biological processes
contig20734	protein metabolism
contig76370	protein metabolism
contig111529_105910	other biological processes
contig56486_112983_104013_7610	protein metabolism
contig203757	other biological processes
contig111931	DNA metabolism
contig130853_98370	transport
contig211654	transport
contig159923_52248	stress response
contig104115	other metabolic processes
contig219687	protein metabolism
contig74777	transport
contig13491	other biological processes
contig139508_203399_23050_149287_212511	developmental processes
contig212144	developmental processes
contig152269	cell organization and biogenesis
contig145439	other metabolic processes
contig203239_105334	protein metabolism
contig105091_159253_12588_74955_205098	other metabolic processes
contig219150	other biological processes
contig106486_19243	cell-cell signaling
contig283_18447_195285_23282	protein metabolism
contig104468_111177_215708	transport
contig146721_156108	signal transduction
contig150736	RNA metabolism
contig209407_108765_77238_96485	death
contig76794	other biological processes
contig179687	protein metabolism
contig187771	DNA metabolism
contig169600	other metabolic processes
contig211816	signal transduction
contig75643	protein metabolism
contig179884	protein metabolism
contig219249	death
contig69971	cell organization and biogenesis
contig51447_178902	protein metabolism
contig117813	cell organization and biogenesis
contig145225_106054_132094	signal transduction
contig107169_177306_195303	transport
contig72412	other metabolic processes
contig11246	transport
contig180268	cell organization and biogenesis
contig147580	DNA metabolism
contig113998_146736	cell organization and biogenesis
contig132942_155694	stress response
contig97241_97243	developmental processes
contig70759	other metabolic processes
contig83130	stress response
contig98617_152207	other biological processes
contig156811	other metabolic processes
contig26606_130860	signal transduction
contig76697	other biological processes
contig180715_107065	protein metabolism
contig111455	protein metabolism
contig97249_82621	other metabolic processes
contig60247	RNA metabolism
contig107219	signal transduction
contig129902	other metabolic processes
contig149913	protein metabolism
contig176665	other biological processes
contig177719	developmental processes
contig68077	other biological processes
contig175845	protein metabolism
contig81819	DNA metabolism
contig150452_81742_180562	signal transduction
contig195493	other metabolic processes
contig118272_184814	developmental processes
contig207009	transport
contig150116	cell organization and biogenesis
contig111773	other metabolic processes
contig195073	RNA metabolism
contig146782	signal transduction
contig59882	signal transduction
contig54913	other biological processes
contig105279	protein metabolism
contig73671	signal transduction
contig150955	other metabolic processes
contig169320	death
contig138224	DNA metabolism
contig82667_74864	developmental processes
contig79237_107996	signal transduction
contig176435	transport
contig147864_169255_134308	RNA metabolism
contig111241	RNA metabolism
contig98584	RNA metabolism
contig129546	death
contig49062	RNA metabolism
contig218788	other metabolic processes
contig70009_80864	DNA metabolism
contig120089	cell-cell signaling
contig69454	other biological processes
contig170525	signal transduction
contig142310	signal transduction
contig23723	developmental processes
contig600175	other biological processes
contig66669	signal transduction
contig204206	RNA metabolism
contig59779	other metabolic processes
contig72378	developmental processes
contig139816	cell organization and biogenesis
contig74992	other biological processes
contig77058	cell-cell signaling
contig154133	cell cycle and proliferation
contig152309	protein metabolism
contig133316	other metabolic processes
contig96130	cell organization and biogenesis
contig189749	other metabolic processes
contig96736_117352	signal transduction
contig215006	protein metabolism
contig144858	other biological processes
contig192845	cell cycle and proliferation
contig109530_169158	stress response
contig118580	other biological processes
contig158204	developmental processes
contig76481	RNA metabolism
contig147694_119584_187929	other biological processes
contig178391	cell cycle and proliferation
contig168860	developmental processes
contig113401	other biological processes
contig113082	signal transduction
contig169740	stress response
contig160053	cell organization and biogenesis
contig98320	other metabolic processes
contig146939	other biological processes
contig175914_180948	protein metabolism
contig163216_194259	signal transduction
contig147026	DNA metabolism
contig195737_65261	signal transduction
contig137908	protein metabolism
contig150812_205885	DNA metabolism
contig143625	developmental processes
contig66659	other biological processes
contig116145	other biological processes
contig25606	protein metabolism
contig143021_211541	other biological processes
contig152471_189632_99286_113725_72863	developmental processes
contig167897	other biological processes
contig180770_14379	other biological processes
contig150848	cell organization and biogenesis
contig88405	RNA metabolism
contig149896	other biological processes
contig151933	protein metabolism
contig93851	protein metabolism
contig169058_182423	other biological processes
contig154282_153730	other biological processes
contig118945	other metabolic processes
contig148565	RNA metabolism
contig140101_198139_25397_17843_172052	transport
contig212111	other metabolic processes
contig77879	cell-cell signaling
contig99611_146378	developmental processes
contig148853	transport
contig72679	other metabolic processes
contig100328	DNA metabolism
contig115073	developmental processes
contig204295	protein metabolism
contig145110	developmental processes
contig208006	cell cycle and proliferation
contig98644_11524_185301	other biological processes
contig152048_210873_207983	cell cycle and proliferation
contig194048	other biological processes
contig78418_81551	DNA metabolism
contig41283_69488	stress response
contig148818	other metabolic processes
contig107038_176913_23072_214634	other metabolic processes
contig94431	protein metabolism
contig116294	transport
contig176218	protein metabolism
contig79107_139390	other biological processes
contig201161	cell organization and biogenesis
contig171441	other metabolic processes
contig145860	cell organization and biogenesis
contig35831_139274_189894	other metabolic processes
contig14403	signal transduction
contig175693	other biological processes
contig151146	other biological processes
contig211277	other metabolic processes
contig108694	other biological processes
contig204242	transport
contig179953	cell organization and biogenesis
contig109500	other metabolic processes
contig7983	other biological processes
contig203863_210427_151893_150926	cell organization and biogenesis
contig217169	other biological processes
contig175630_174532	developmental processes
contig169952	protein metabolism
contig149551_151458	other biological processes
contig103438_179247	other biological processes
contig19501	other biological processes
contig77081	RNA metabolism
contig118879_68667	RNA metabolism
contig209425	developmental processes
contig177532_107548_131411	other biological processes
contig114108_78601_213590_70289	other biological processes
contig114416_193872_203924	signal transduction
contig133630	protein metabolism
contig70496_68900	developmental processes
contig202554	stress response
contig151985	RNA metabolism
contig114669	transport
contig148580	developmental processes
contig16497	other biological processes
contig112539	protein metabolism
contig8299	transport
contig147996	other metabolic processes
contig150746_154552	other biological processes
contig147749_210523	transport
contig209407_108765_77238_96485	developmental processes
contig211546	cell cycle and proliferation
contig72060	RNA metabolism
contig71989	developmental processes
contig98003_119563	cell cycle and proliferation
contig177993	other metabolic processes
contig159897	other metabolic processes
contig187266	cell organization and biogenesis
contig174718	other biological processes
contig600022	death
contig117427	signal transduction
contig3582	RNA metabolism
contig116208	cell cycle and proliferation
contig207822_151512	cell adhesion
contig10156_75121	stress response
contig129892_182314_105087	cell organization and biogenesis
contig145390_123740_152068	developmental processes
contig98484	stress response
contig203401	other biological processes
contig176653	cell-cell signaling
contig159710_108367_149052	other metabolic processes
contig195794	protein metabolism
contig69971	RNA metabolism
contig15201	developmental processes
contig23812_113305_98960_148882	cell organization and biogenesis
contig181142	stress response
contig1602	RNA metabolism
contig21763_175951	other metabolic processes
contig167947_16871_107401	other biological processes
contig148565	cell organization and biogenesis
contig118174_75735_178939_210656	protein metabolism
contig48271	signal transduction
contig219151_148117_72884	protein metabolism
contig169305_25559_207989	other metabolic processes
contig99477	cell organization and biogenesis
contig68447_116139	developmental processes
contig70179	death
contig82991	protein metabolism
contig145012	signal transduction
contig74042_176003	cell organization and biogenesis
contig189987	cell adhesion
contig211207	cell adhesion
contig600035	RNA metabolism
contig75728	other metabolic processes
contig109899	cell organization and biogenesis
contig109008	signal transduction
contig20511	other biological processes
contig182539	signal transduction
contig108191	signal transduction
contig151182_210875_195266	RNA metabolism
contig177071	other biological processes
contig44002	stress response
contig215902	other biological processes
contig203499	stress response
contig107292_15651	cell organization and biogenesis
contig20183	protein metabolism
contig78105_108948_169460	signal transduction
contig58086	protein metabolism
contig8764	cell cycle and proliferation
contig107815	signal transduction
contig209206	RNA metabolism
contig203791	cell-cell signaling
contig131759	other biological processes
contig79736_155569	cell cycle and proliferation
contig72412	transport
contig100021_110093_105915	protein metabolism
contig80020	developmental processes
contig116721	signal transduction
contig68383_180363_132010	RNA metabolism
contig145270	developmental processes
contig57628	cell organization and biogenesis
contig76067_177706	other biological processes
contig137114	death
contig107567	DNA metabolism
contig82413	other biological processes
contig17548	cell cycle and proliferation
contig17538	signal transduction
contig218121_146371	cell adhesion
contig184463	other biological processes
contig79346	other metabolic processes
contig119173	stress response
contig181272	other biological processes
contig112946	developmental processes
contig148655_158040	RNA metabolism
contig182344_209692_156646	cell adhesion
contig157630_112916	cell-cell signaling
contig178899	other metabolic processes
contig181526	developmental processes
contig153374	other biological processes
contig193089	RNA metabolism
contig126955	other biological processes
contig217334	developmental processes
contig139205_111504	other metabolic processes
contig112968	other metabolic processes
contig60554_109491	RNA metabolism
contig148635	other metabolic processes
contig169811	cell organization and biogenesis
contig168149	signal transduction
contig153127	developmental processes
contig114215_153807_105112	protein metabolism
contig68483_186650	other metabolic processes
contig175018	cell cycle and proliferation
contig159443_141906	signal transduction
contig83277	developmental processes
contig134907	transport
contig204062	protein metabolism
contig211262	DNA metabolism
contig116505	signal transduction
contig215008	death
contig204122	cell cycle and proliferation
contig120009	other biological processes
contig109139	developmental processes
contig204132	RNA metabolism
contig75990	developmental processes
contig119935	transport
contig146601	transport
contig187535	signal transduction
contig179042	other metabolic processes
contig171850	other biological processes
contig150062_178043	cell cycle and proliferation
contig25181	other metabolic processes
contig213596_178023_129420	stress response
contig219250	protein metabolism
contig70250	RNA metabolism
contig105052	death
contig99248	other biological processes
contig78793	other metabolic processes
contig108537	death
contig26308	transport
contig113212	other metabolic processes
contig180146_147773	other biological processes
contig205354_77052	other metabolic processes
contig169811	RNA metabolism
contig151689	other metabolic processes
contig209464	transport
contig110009	protein metabolism
contig146708	RNA metabolism
contig167657	death
contig153302_132931	other biological processes
contig170077	cell cycle and proliferation
contig147538	transport
contig169349	cell cycle and proliferation
contig76684	other biological processes
contig153471	DNA metabolism
contig58517	other metabolic processes
contig151904	cell cycle and proliferation
contig3504_180902	RNA metabolism
contig109890	RNA metabolism
contig151982	cell organization and biogenesis
contig203591	other biological processes
contig213136	cell adhesion
contig137700	other biological processes
contig153273	other metabolic processes
contig204142	other metabolic processes
contig97702_194794	other biological processes
contig190128	protein metabolism
contig148479	RNA metabolism
contig57042	protein metabolism
contig65783	protein metabolism
contig108392	RNA metabolism
contig74096	other biological processes
contig25409_16070	RNA metabolism
contig148569	other metabolic processes
contig153008	death
contig204940	other metabolic processes
contig175721	other metabolic processes
contig210288	protein metabolism
contig147112	protein metabolism
contig114683	other metabolic processes
contig52594_192245_70330	transport
contig146860	death
contig171669_113196_193705	cell-cell signaling
contig151864	RNA metabolism
contig179074	other metabolic processes
contig211213	other biological processes
contig116974	DNA metabolism
contig100357	other metabolic processes
contig128306	protein metabolism
contig181246	signal transduction
contig15363	other metabolic processes
contig152619	DNA metabolism
contig76188	stress response
contig176632	transport
contig115900	RNA metabolism
contig183282	signal transduction
contig145037	protein metabolism
contig186978	stress response
contig72436	death
contig124486	cell organization and biogenesis
contig191399	cell cycle and proliferation
contig23754	cell organization and biogenesis
contig111428	other biological processes
contig185455_146452	other biological processes
contig97492	other biological processes
contig217540	transport
contig75554	DNA metabolism
contig117098	protein metabolism
contig72496_196654_160518	developmental processes
contig98599_194359_140464	stress response
contig79851_6457_68563_69741	death
contig151754	other biological processes
contig77335	other biological processes
contig193894_64489	other biological processes
contig128631	signal transduction
contig153081_130344_132898_171344_132957	stress response
contig151846	other biological processes
contig209820	cell adhesion
contig117653_194909	other biological processes
contig58648	other metabolic processes
contig115761	other metabolic processes
contig72717_210113	cell organization and biogenesis
contig106035	developmental processes
contig131304	other metabolic processes
contig147346	protein metabolism
contig150521	other metabolic processes
contig214435_77200	transport
contig151341	protein metabolism
contig219808	DNA metabolism
contig218486	other biological processes
contig20209	RNA metabolism
contig210683_175787	protein metabolism
contig180127	signal transduction
contig107595	other biological processes
contig193017_216221	other biological processes
contig24217	other biological processes
contig185804	developmental processes
contig169714	developmental processes
contig107916	other metabolic processes
contig206021	protein metabolism
contig177537	other biological processes
contig202303	cell adhesion
contig19135_77174_4972	other metabolic processes
contig152142	other metabolic processes
contig182798	DNA metabolism
contig79910_107026	RNA metabolism
contig108922	other biological processes
contig114420	RNA metabolism
contig145188	cell organization and biogenesis
contig177263	developmental processes
contig47806	RNA metabolism
contig69802	protein metabolism
contig174587	other metabolic processes
contig169313	RNA metabolism
contig77014	signal transduction
contig169284	death
contig215819	cell organization and biogenesis
contig98643	protein metabolism
contig205158	transport
contig186997_189048	other metabolic processes
contig179129	signal transduction
contig65203	other biological processes
contig146561	stress response
contig77081	DNA metabolism
contig153320	other metabolic processes
contig4469	other metabolic processes
contig171818_155529	other metabolic processes
contig4624_79205	transport
contig131597	RNA metabolism
contig145332_178661	protein metabolism
contig147102	signal transduction
contig193290	other biological processes
contig92297_16931_155255	other biological processes
contig111559	other biological processes
contig194394	cell-cell signaling
contig176121	RNA metabolism
contig103949	developmental processes
contig104255_74669_147417	stress response
contig70823	developmental processes
contig145777	protein metabolism
contig94068	death
contig194033_160066	protein metabolism
contig146776	RNA metabolism
contig195765	signal transduction
contig212478	other metabolic processes
contig97385_174452	RNA metabolism
contig26195_143555	other metabolic processes
contig68679	stress response
contig48798	other metabolic processes
contig97249_82621	other biological processes
contig97440	transport
contig176789	death
contig192028_203060_209155	signal transduction
contig145528_211923	RNA metabolism
contig202366	transport
contig146910	stress response
contig23650	other metabolic processes
contig204577	signal transduction
contig177391	other metabolic processes
contig156747	signal transduction
contig18520	transport
contig112700	other metabolic processes
contig60420	stress response
contig25809	DNA metabolism
contig81213_139272	other metabolic processes
contig205335	protein metabolism
contig180949	stress response
contig44542_55363_151859	cell adhesion
contig4469	transport
contig148613_107845_216777_165704_208464	signal transduction
contig136511_147925	other biological processes
contig150424	developmental processes
contig138342	cell organization and biogenesis
contig47953	other metabolic processes
contig218418	cell organization and biogenesis
contig48196	cell organization and biogenesis
contig139632	protein metabolism
contig150827_129039_76866_157735	other metabolic processes
contig180358	stress response
contig99784	death
contig106760_147682	cell organization and biogenesis
contig179730_118189	other biological processes
contig112090	transport
contig93701	protein metabolism
contig68633	other biological processes
contig81497	other biological processes
contig146766	other metabolic processes
contig146570_76786	other biological processes
contig2134	protein metabolism
contig80399_114353	other biological processes
contig145357	cell adhesion
contig68556	developmental processes
contig210015	other metabolic processes
contig212690	stress response
contig110954	transport
contig43392	developmental processes
contig186917	other biological processes
contig25812	RNA metabolism
contig212819_107792	other metabolic processes
contig123670	death
contig147657	other biological processes
contig20582	other metabolic processes
contig159710_108367_149052	other biological processes
contig72060	cell organization and biogenesis
contig148092	stress response
contig160550	transport
contig58103_170241	signal transduction
contig179783	developmental processes
contig157900	other metabolic processes
contig150467	signal transduction
contig75640_114316	other biological processes
contig107716	other biological processes
contig112182	protein metabolism
contig190846_153215_18527	protein metabolism
contig99714	other biological processes
contig141119	other metabolic processes
contig132617	signal transduction
contig170934	RNA metabolism
contig205064	protein metabolism
contig73141	cell organization and biogenesis
