ContigID	term	GOSlim_bin	aspect	ProteinName
Haliotis_kam_contig7282	mitotic spindle elongation	cell organization and biogenesis	P	60S ribosomal protein L10 (QM protein homolog) (dQM)
Haliotis_kam_contig4187	ribosomal large subunit assembly	cell organization and biogenesis	P	60S ribosomal protein L12
Haliotis_kam_contig1075	ribosomal small subunit assembly	cell organization and biogenesis	P	40S ribosomal protein S14
Haliotis_kam_contig329	ribosomal small subunit assembly	cell organization and biogenesis	P	40S ribosomal protein S15 (RIG protein)
Haliotis_kam_contig3642	autophagic vacuole formation	stress response	P	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)
Haliotis_kam_contig3642	autophagic vacuole formation	other metabolic processes	P	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)
Haliotis_kam_contig3642	autophagic vacuole formation	cell organization and biogenesis	P	Ubiquitin-like protein ATG12 (Autophagy-related protein 12) (APG12-like)
Haliotis_kam_contig1884	"protein import into nucleus, translocation"	transport	P	Protein transport protein Sec61 subunit beta
Haliotis_kam_contig5256	mitotic sister chromatid segregation	cell cycle and proliferation	P	Centromere/kinetochore protein zw10 homolog
Haliotis_kam_contig5256	mitotic sister chromatid segregation	cell organization and biogenesis	P	Centromere/kinetochore protein zw10 homolog
Haliotis_kam_contig1042	cell cycle checkpoint	cell cycle and proliferation	P	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Haliotis_kam_contig1537	cell cycle checkpoint	cell cycle and proliferation	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	cell cycle checkpoint	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	cell cycle checkpoint	cell cycle and proliferation	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig7700	cell cycle checkpoint	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig1478	DNA damage checkpoint	cell cycle and proliferation	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig1478	DNA damage checkpoint	signal transduction	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig1478	DNA damage checkpoint	stress response	P	Nibrin (Cell cycle regulatory protein p95) (Nijmegen breakage syndrome protein 1)
Haliotis_kam_contig3162	G1 phase of mitotic cell cycle	cell cycle and proliferation	P	Cell division cycle protein 123 homolog
Haliotis_kam_contig1042	G1/S transition of mitotic cell cycle	cell cycle and proliferation	P	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Haliotis_kam_contig1537	G1/S transition of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	G1/S transition of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	G1/S transition of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig7700	G1/S transition of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig1042	S phase of mitotic cell cycle	cell cycle and proliferation	P	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Haliotis_kam_contig1537	S phase of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	S phase of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	S phase of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig7700	S phase of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig4161	sulfur amino acid metabolic process	other metabolic processes	P	Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase)
Haliotis_kam_contig4161	sulfur amino acid catabolic process	other metabolic processes	P	Cysteine sulfinic acid decarboxylase (EC 4.1.1.29) (Cysteine-sulfinate decarboxylase) (Sulfinoalanine decarboxylase)
Haliotis_kam_contig1392	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Heat shock factor-binding protein 1 (Nasopharyngeal carcinoma-associated antigen 13) (NPC-A-13)
Haliotis_kam_contig3115	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Proliferating cell nuclear antigen (PCNA) (Cyclin)
Haliotis_kam_contig3405	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	DNA-binding protein inhibitor ID-2-A (Inhibitor of DNA binding 2-A) (XId2)
Haliotis_kam_contig3589	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)
Haliotis_kam_contig5002	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140)
Haliotis_kam_contig5343	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Protein odd-skipped-related 2
Haliotis_kam_contig6342	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	Motile sperm domain-containing protein 1
Haliotis_kam_contig7700	negative regulation of transcription from RNA polymerase II promoter	RNA metabolism	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig5256	establishment of mitotic spindle orientation	cell cycle and proliferation	P	Centromere/kinetochore protein zw10 homolog
Haliotis_kam_contig5256	establishment of mitotic spindle orientation	cell organization and biogenesis	P	Centromere/kinetochore protein zw10 homolog
Haliotis_kam_contig993	establishment of mitotic spindle orientation	cell cycle and proliferation	P	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)
Haliotis_kam_contig993	establishment of mitotic spindle orientation	cell organization and biogenesis	P	Dynein light chain Tctex-type 1 (Protein CW-1) (T-complex testis-specific protein 1 homolog)
Haliotis_kam_contig102	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	60S ribosomal protein L21
Haliotis_kam_contig2201	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (eIF-3 p48)
Haliotis_kam_contig268	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	Regulator of nonsense transcripts 2 (Nonsense mRNA reducing factor 2) (Up-frameshift suppressor 2 homolog) (hUpf2)
Haliotis_kam_contig281	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	60S ribosomal protein L18a
Haliotis_kam_contig2953	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (ATP-dependent RNA helicase DDX48) (ATP-dependent RNA helicase eIF4A-3) (DEAD box protein 48) (Eukaryotic translation initiation factor 4A isoform 3)
Haliotis_kam_contig3043	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	"40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"
Haliotis_kam_contig350	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)
Haliotis_kam_contig464	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	"40S ribosomal protein S5 [Cleaved into: 40S ribosomal protein S5, N-terminally processed]"
Haliotis_kam_contig58	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	60S ribosomal protein L13a (23 kDa highly basic protein)
Haliotis_kam_contig6423	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	Regulator of nonsense transcripts 2 (Nonsense mRNA reducing factor 2) (Up-frameshift suppressor 2 homolog) (hUpf2)
Haliotis_kam_contig84	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RNA metabolism	P	60S ribosomal protein L12
Haliotis_kam_contig4342	activation of MAPK activity	signal transduction	P	Peroxiredoxin-2 (EC 1.11.1.15) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)
Haliotis_kam_contig4342	activation of MAPK activity	protein metabolism	P	Peroxiredoxin-2 (EC 1.11.1.15) (Thiol-specific antioxidant protein) (TSA) (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1)
Haliotis_kam_contig1876	inactivation of MAPK activity	signal transduction	P	Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase MKP-X) (Fragment)
Haliotis_kam_contig1876	inactivation of MAPK activity	other metabolic processes	P	Dual specificity protein phosphatase 7 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase MKP-X) (Fragment)
Haliotis_kam_contig1537	protein polyubiquitination	protein metabolism	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	protein polyubiquitination	protein metabolism	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	protein polyubiquitination	protein metabolism	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig6025	protein polyubiquitination	protein metabolism	P	Ubiquitin-conjugating enzyme E2 L3 (EC 6.3.2.19) (UbcM4) (Ubiquitin carrier protein L3) (Ubiquitin-protein ligase L3)
Haliotis_kam_contig7700	protein polyubiquitination	protein metabolism	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig8591	protein polyubiquitination	protein metabolism	P	Ubiquitin-conjugating enzyme E2 4 (EC 6.3.2.19) (Ubiquitin carrier protein 4) (Ubiquitin-protein ligase 4)
Haliotis_kam_contig1042	M/G1 transition of mitotic cell cycle	cell cycle and proliferation	P	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Haliotis_kam_contig1537	M/G1 transition of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	M/G1 transition of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	M/G1 transition of mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig7700	M/G1 transition of mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig2559	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig2627	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tubulin alpha-6 chain
Haliotis_kam_contig3078	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig4024	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig509	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig5365	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig7788	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-B1
Haliotis_kam_contig7864	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-B1
Haliotis_kam_contig8350	microtubule cytoskeleton organization	cell organization and biogenesis	P	Tektin-3
Haliotis_kam_contig962	microtubule cytoskeleton organization	cell organization and biogenesis	P	Transitional endoplasmic reticulum ATPase TER94 (EC 3.6.4.6) (Valosin-containing protein homolog)
Haliotis_kam_contig2714	assembly of spliceosomal tri-snRNP	RNA metabolism	P	"Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)"
Haliotis_kam_contig2714	assembly of spliceosomal tri-snRNP	cell organization and biogenesis	P	"Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)"
Haliotis_kam_contig1932	spliceosome assembly	RNA metabolism	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig1932	spliceosome assembly	cell organization and biogenesis	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig3817	spliceosome assembly	RNA metabolism	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig3817	spliceosome assembly	cell organization and biogenesis	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig8415	spliceosome assembly	RNA metabolism	P	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56)
Haliotis_kam_contig8415	spliceosome assembly	cell organization and biogenesis	P	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56)
Haliotis_kam_contig3228	polysaccharide catabolic process	other metabolic processes	P	"Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"
Haliotis_kam_contig7024	polysaccharide catabolic process	other metabolic processes	P	Endochitinase (EC 3.2.1.14) (MF1 antigen)
Haliotis_kam_contig1042	mitotic cell cycle	cell cycle and proliferation	P	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)
Haliotis_kam_contig1537	mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)
Haliotis_kam_contig5602	mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 13 (26S proteasome regulatory subunit RPN9) (26S proteasome regulatory subunit S11) (26S proteasome regulatory subunit p40.5)
Haliotis_kam_contig5900	mitotic cell cycle	cell cycle and proliferation	P	Proteasome subunit beta type-2 (EC 3.4.25.1) (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I)
Haliotis_kam_contig7700	mitotic cell cycle	cell cycle and proliferation	P	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))
Haliotis_kam_contig6762	response to reactive oxygen species	stress response	P	Peroxiredoxin-6 (EC 1.11.1.15) (1-Cys peroxiredoxin) (1-Cys PRX) (Acidic calcium-independent phospholipase A2) (aiPLA2) (EC 3.1.1.-) (Antioxidant protein 2) (Ciliary body glutathione peroxidase) (Non-selenium glutathione peroxidase) (NSGPx) (EC 1.11.1.9) (PHGPx)
Haliotis_kam_contig2714	"regulation of alternative nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	"Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)"
Haliotis_kam_contig412	"regulation of alternative nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68)
Haliotis_kam_contig5225	"regulation of alternative nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Heterogeneous nuclear ribonucleoprotein A1 (hnRNP A1) (PEN repeat clone P9) (hnRNP core protein A1-A)
Haliotis_kam_contig2714	nuclear mRNA 5'-splice site recognition	RNA metabolism	P	"Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)"
Haliotis_kam_contig2714	nuclear mRNA 5'-splice site recognition	cell organization and biogenesis	P	"Serine/arginine-rich splicing factor 12 (35 kDa SR repressor protein) (SRrp35) (Splicing factor, arginine/serine-rich 13B) (Splicing factor, arginine/serine-rich 19)"
Haliotis_kam_contig1119	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	U2 small nuclear ribonucleoprotein B'' (U2 snRNP B'')
Haliotis_kam_contig122	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Splicing factor 3A subunit 3 (Protein noisette)
Haliotis_kam_contig1932	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig2754	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Heterogeneous nuclear ribonucleoprotein M (hnRNP M) (M4 protein)
Haliotis_kam_contig3350	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (Bicoid-interacting protein 1) (dSAP18)
Haliotis_kam_contig3817	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Spliceosome RNA helicase Ddx39b (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (ATP-dependent RNA helicase p47) (DEAD box protein Uap56)
Haliotis_kam_contig4097	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Probable splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)
Haliotis_kam_contig5389	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	PHD finger-like domain-containing protein 5A (PHD finger-like domain protein 5A) (Splicing factor 3B-associated 14 kDa protein) (SF3b14b)
Haliotis_kam_contig6196	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)
Haliotis_kam_contig6620	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	RNA-binding protein cabeza (P19) (Sarcoma-associated RNA-binding fly homolog)
Haliotis_kam_contig8375	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	"Serine/arginine-rich splicing factor 6 (Pre-mRNA-splicing factor SRP55) (Splicing factor, arginine/serine-rich 6)"
Haliotis_kam_contig8415	"nuclear mRNA splicing, via spliceosome"	RNA metabolism	P	Spliceosome RNA helicase DDX39B (EC 3.6.4.13) (56 kDa U2AF65-associated protein) (DEAD box protein UAP56)
Haliotis_kam_contig1049	protein peptidyl-prolyl isomerization	protein metabolism	P	46 kDa FK506-binding nuclear protein (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)
Haliotis_kam_contig1118	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (p1B15) (p31)
Haliotis_kam_contig1970	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)
Haliotis_kam_contig2090	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1)
Haliotis_kam_contig3690	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase slr1251 (PPIase slr1251) (EC 5.2.1.8) (Rotamase slr1251)
Haliotis_kam_contig3813	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase 7 (PPIase 7) (EC 5.2.1.8) (Cyclophilin-7) (Rotamase 7)
Haliotis_kam_contig3915	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin)
Haliotis_kam_contig4023	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)
Haliotis_kam_contig6689	protein peptidyl-prolyl isomerization	protein metabolism	P	FK506-binding protein 2 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)
Haliotis_kam_contig6782	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (Cyclosporin A-binding protein) (Rotamase)
Haliotis_kam_contig8318	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase CYP19-4 (PPIase CYP19-4) (EC 5.2.1.8) (Cyclophilin of 19 kDa 4) (Cyclophilin-5) (Rotamase CYP19-4)
Haliotis_kam_contig8463	protein peptidyl-prolyl isomerization	protein metabolism	P	12 kDa FK506-binding protein (FKBP) (EC 5.2.1.8) (Macrolide-binding protein) (Peptidyl-prolyl cis-trans isomerase) (PPIase) (Rotamase)
Haliotis_kam_contig904	protein peptidyl-prolyl isomerization	protein metabolism	P	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (FK506-binding protein) (FKBP)
Haliotis_kam_contig1113	mitochondrion degradation	other metabolic processes	P	"Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)"
